Numero de documentos del corpus: 4480
Numero de palabras del corpus: 362940
Palabra: <UNK> Frec: 0 LogProb: -12.9980374838592
Palabra: aa Frec: 8 LogProb: -10.80081290652298
Palabra: aaa Frec: 3 LogProb: -11.611743122739309
Palabra: aaas Frec: 1 LogProb: -12.304890303299254
Palabra: aachen Frec: 1 LogProb: -12.304890303299254
Palabra: aadhunik Frec: 1 LogProb: -12.304890303299254
Palabra: aadmis Frec: 1 LogProb: -12.304890303299254
Palabra: aai Frec: 4 LogProb: -11.388599571425098
Palabra: aakash Frec: 1 LogProb: -12.304890303299254
Palabra: aam Frec: 1 LogProb: -12.304890303299254
Palabra: aandhi Frec: 1 LogProb: -12.304890303299254
Palabra: aanya Frec: 1 LogProb: -12.304890303299254
Palabra: aao Frec: 3 LogProb: -11.611743122739309
Palabra: aaraaar Frec: 1 LogProb: -12.304890303299254
Palabra: aarfa Frec: 1 LogProb: -12.304890303299254
Palabra: aaron Frec: 2 LogProb: -11.899425195191089
Palabra: aaronjeannettes Frec: 1 LogProb: -12.304890303299254
Palabra: aaronovitch Frec: 3 LogProb: -11.611743122739309
Palabra: aart Frec: 4 LogProb: -11.388599571425098
Palabra: aarti Frec: 3 LogProb: -11.611743122739309
Palabra: aas Frec: 1 LogProb: -12.304890303299254
Palabra: aashiqui Frec: 1 LogProb: -12.304890303299254
Palabra: aashto Frec: 1 LogProb: -12.304890303299254
Palabra: aati Frec: 1 LogProb: -12.304890303299254
Palabra: aavclubcomandy Frec: 1 LogProb: -12.304890303299254
Palabra: aavishkar Frec: 1 LogProb: -12.304890303299254
Palabra: ab Frec: 12 LogProb: -10.433088126397662
Palabra: aba Frec: 2 LogProb: -11.899425195191089
Palabra: ababa Frec: 1 LogProb: -12.304890303299254
Palabra: abandon Frec: 1 LogProb: -12.304890303299254
Palabra: abandoned Frec: 10 LogProb: -10.60014221106083
Palabra: abandoning Frec: 1 LogProb: -12.304890303299254
Palabra: abandons Frec: 1 LogProb: -12.304890303299254
Palabra: abap Frec: 1 LogProb: -12.304890303299254
Palabra: abavb Frec: 2 LogProb: -11.899425195191089
Palabra: abba Frec: 3 LogProb: -11.611743122739309
Palabra: abbasi Frec: 1 LogProb: -12.304890303299254
Palabra: abbasid Frec: 1 LogProb: -12.304890303299254
Palabra: abbey Frec: 1 LogProb: -12.304890303299254
Palabra: abbott Frec: 9 LogProb: -10.695452390865153
Palabra: abbreviation Frec: 1 LogProb: -12.304890303299254
Palabra: abbreviations Frec: 2 LogProb: -11.899425195191089
Palabra: abby Frec: 3 LogProb: -11.611743122739309
Palabra: abc Frec: 19 LogProb: -10.002305210305208
Palabra: abccomfor Frec: 2 LogProb: -11.899425195191089
Palabra: abcnewscom Frec: 1 LogProb: -12.304890303299254
Palabra: abcs Frec: 5 LogProb: -11.206278014631144
Palabra: abd Frec: 1 LogProb: -12.304890303299254
Palabra: abdominopelvic Frec: 1 LogProb: -12.304890303299254
Palabra: abdool Frec: 1 LogProb: -12.304890303299254
Palabra: abdul Frec: 10 LogProb: -10.60014221106083
Palabra: abduljabbar Frec: 1 LogProb: -12.304890303299254
Palabra: abec Frec: 1 LogProb: -12.304890303299254
Palabra: abel Frec: 14 LogProb: -10.28998728275699
Palabra: aberdeen Frec: 1 LogProb: -12.304890303299254
Palabra: aberrant Frec: 1 LogProb: -12.304890303299254
Palabra: aberystwyth Frec: 1 LogProb: -12.304890303299254
Palabra: abha Frec: 1 LogProb: -12.304890303299254
Palabra: abhi Frec: 1 LogProb: -12.304890303299254
Palabra: abhijeet Frec: 1 LogProb: -12.304890303299254
Palabra: abhinav Frec: 2 LogProb: -11.899425195191089
Palabra: abhishek Frec: 8 LogProb: -10.80081290652298
Palabra: abhivriti Frec: 3 LogProb: -11.611743122739309
Palabra: abhiyanta Frec: 1 LogProb: -12.304890303299254
Palabra: abhiyogyata Frec: 1 LogProb: -12.304890303299254
Palabra: abhm Frec: 1 LogProb: -12.304890303299254
Palabra: abhor Frec: 1 LogProb: -12.304890303299254
Palabra: abhorrence Frec: 1 LogProb: -12.304890303299254
Palabra: abide Frec: 1 LogProb: -12.304890303299254
Palabra: abided Frec: 1 LogProb: -12.304890303299254
Palabra: abiding Frec: 2 LogProb: -11.899425195191089
Palabra: abie Frec: 3 LogProb: -11.611743122739309
Palabra: abigail Frec: 2 LogProb: -11.899425195191089
Palabra: abilities Frec: 10 LogProb: -10.60014221106083
Palabra: abilitieschoice Frec: 1 LogProb: -12.304890303299254
Palabra: ability Frec: 126 LogProb: -8.153850397400609
Palabra: abilityaptitude Frec: 1 LogProb: -12.304890303299254
Palabra: abilityone Frec: 1 LogProb: -12.304890303299254
Palabra: abj Frec: 1 LogProb: -12.304890303299254
Palabra: abject Frec: 1 LogProb: -12.304890303299254
Palabra: ably Frec: 2 LogProb: -11.899425195191089
Palabra: abnormal Frec: 6 LogProb: -11.052127334803886
Palabra: aboard Frec: 6 LogProb: -11.052127334803886
Palabra: abode Frec: 2 LogProb: -11.899425195191089
Palabra: abolished Frec: 1 LogProb: -12.304890303299254
Palabra: abominations Frec: 1 LogProb: -12.304890303299254
Palabra: aboriginal Frec: 1 LogProb: -12.304890303299254
Palabra: aborn Frec: 1 LogProb: -12.304890303299254
Palabra: abortion Frec: 14 LogProb: -10.28998728275699
Palabra: abortions Frec: 1 LogProb: -12.304890303299254
Palabra: abortionthat Frec: 1 LogProb: -12.304890303299254
Palabra: abortive Frec: 1 LogProb: -12.304890303299254
Palabra: abound Frec: 1 LogProb: -12.304890303299254
Palabra: abounds Frec: 1 LogProb: -12.304890303299254
Palabra: abouta Frec: 1 LogProb: -12.304890303299254
Palabra: aboutand Frec: 3 LogProb: -11.611743122739309
Palabra: aboutbut Frec: 1 LogProb: -12.304890303299254
Palabra: aboutcom Frec: 4 LogProb: -11.388599571425098
Palabra: aboutseth Frec: 1 LogProb: -12.304890303299254
Palabra: aboutwhile Frec: 1 LogProb: -12.304890303299254
Palabra: above Frec: 71 LogProb: -8.721371364843144
Palabra: abovea Frec: 2 LogProb: -11.899425195191089
Palabra: aboveideal Frec: 1 LogProb: -12.304890303299254
Palabra: abovethe Frec: 1 LogProb: -12.304890303299254
Palabra: abpp Frec: 2 LogProb: -11.899425195191089
Palabra: abraham Frec: 11 LogProb: -10.513130834071198
Palabra: abrahams Frec: 2 LogProb: -11.899425195191089
Palabra: abrams Frec: 2 LogProb: -11.899425195191089
Palabra: abramson Frec: 1 LogProb: -12.304890303299254
Palabra: abreast Frec: 1 LogProb: -12.304890303299254
Palabra: abreastof Frec: 1 LogProb: -12.304890303299254
Palabra: abridged Frec: 5 LogProb: -11.206278014631144
Palabra: abridgement Frec: 1 LogProb: -12.304890303299254
Palabra: abridgment Frec: 2 LogProb: -11.899425195191089
Palabra: abridgments Frec: 1 LogProb: -12.304890303299254
Palabra: abroad Frec: 28 LogProb: -9.630741653872725
Palabra: abroada Frec: 1 LogProb: -12.304890303299254
Palabra: abruptly Frec: 2 LogProb: -11.899425195191089
Palabra: abs Frec: 6 LogProb: -11.052127334803886
Palabra: absence Frec: 8 LogProb: -10.80081290652298
Palabra: absent Frec: 3 LogProb: -11.611743122739309
Palabra: absolute Frec: 16 LogProb: -10.164824139802983
Palabra: absolutebest Frec: 1 LogProb: -12.304890303299254
Palabra: absolutely Frec: 51 LogProb: -9.046793765277771
Palabra: absolutism Frec: 1 LogProb: -12.304890303299254
Palabra: absolutist Frec: 1 LogProb: -12.304890303299254
Palabra: absorb Frec: 7 LogProb: -10.918595942179364
Palabra: absorbed Frec: 5 LogProb: -11.206278014631144
Palabra: absorbent Frec: 1 LogProb: -12.304890303299254
Palabra: absorbing Frec: 28 LogProb: -9.630741653872725
Palabra: absorbingcomplications Frec: 1 LogProb: -12.304890303299254
Palabra: absorbs Frec: 4 LogProb: -11.388599571425098
Palabra: abstract Frec: 4 LogProb: -11.388599571425098
Palabra: abstracted Frec: 1 LogProb: -12.304890303299254
Palabra: abstraction Frec: 1 LogProb: -12.304890303299254
Palabra: abstractions Frec: 1 LogProb: -12.304890303299254
