Numero de documentos del corpus: 4070
Numero de palabras del corpus: 290337
Palabra: aa Frec: 20 LogProb: -9.773869580916301
Palabra: aacup Frec: 1 LogProb: -12.125244838079778
Palabra: aadi Frec: 1 LogProb: -12.125244838079778
Palabra: aaiffel Frec: 1 LogProb: -12.125244838079778
Palabra: aaj Frec: 1 LogProb: -12.125244838079778
Palabra: aakrithi Frec: 14 LogProb: -10.110341817537513
Palabra: aania Frec: 4 LogProb: -11.208954106205624
Palabra: aaram Frec: 1 LogProb: -12.125244838079778
Palabra: aarbee Frec: 7 LogProb: -10.738950476959888
Palabra: aari Frec: 2 LogProb: -11.719779729971615
Palabra: aarika Frec: 4 LogProb: -11.208954106205624
Palabra: aasa Frec: 3 LogProb: -11.432097657519833
Palabra: aashirya Frec: 2 LogProb: -11.719779729971615
Palabra: aattractive Frec: 2 LogProb: -11.719779729971615
Palabra: aatu Frec: 2 LogProb: -11.719779729971615
Palabra: ab Frec: 2 LogProb: -11.719779729971615
Palabra: abarata Frec: 1 LogProb: -12.125244838079778
Palabra: abaya Frec: 51 LogProb: -8.867148300058297
Palabra: abayas Frec: 3 LogProb: -11.432097657519833
Palabra: abc Frec: 1 LogProb: -12.125244838079778
Palabra: abcdab Frec: 1 LogProb: -12.125244838079778
Palabra: abd Frec: 2 LogProb: -11.719779729971615
Palabra: abdomen Frec: 27 LogProb: -9.48618750846452
Palabra: abdominal Frec: 17 LogProb: -9.928020260743558
Palabra: abe Frec: 2 LogProb: -11.719779729971615
Palabra: abhaya Frec: 1 LogProb: -12.125244838079778
Palabra: abhi Frec: 22 LogProb: -9.682897802710574
Palabra: abhiabhi Frec: 2 LogProb: -11.719779729971615
Palabra: abilities Frec: 1 LogProb: -12.125244838079778
Palabra: ability Frec: 14 LogProb: -10.110341817537513
Palabra: abiti Frec: 1 LogProb: -12.125244838079778
Palabra: abito Frec: 5 LogProb: -11.02663254941167
Palabra: ablity Frec: 1 LogProb: -12.125244838079778
Palabra: abouthot Frec: 1 LogProb: -12.125244838079778
Palabra: above Frec: 81 LogProb: -8.411672771375471
Palabra: aboveand Frec: 1 LogProb: -12.125244838079778
Palabra: abrasion Frec: 2 LogProb: -11.719779729971615
Palabra: abrasive Frec: 2 LogProb: -11.719779729971615
Palabra: abroad Frec: 4 LogProb: -11.208954106205624
Palabra: abs Frec: 2 LogProb: -11.719779729971615
Palabra: absence Frec: 1 LogProb: -12.125244838079778
Palabra: absolute Frec: 16 LogProb: -9.985178674583508
Palabra: absolutely Frec: 19 LogProb: -9.822659745085733
