Numero de documentos del corpus: 3888
Numero de palabras del corpus: 338417
Palabra: <UNK> Frec: 0 LogProb: -12.940896655135209
Palabra: aa Frec: 59 LogProb: -8.846552092913107
Palabra: aaa Frec: 34 LogProb: -9.385548593645796
Palabra: aaaaa Frec: 6 LogProb: -10.994986506079895
Palabra: aaabattery Frec: 1 LogProb: -12.247749474575263
Palabra: aab Frec: 1 LogProb: -12.247749474575263
Palabra: aac Frec: 18 LogProb: -9.996457675968768
Palabra: aacmpwavamr Frec: 5 LogProb: -11.149137185907154
Palabra: aadhaar Frec: 4 LogProb: -11.331458742701109
Palabra: aadhar Frec: 1 LogProb: -12.247749474575263
Palabra: aal Frec: 1 LogProb: -12.247749474575263
Palabra: aaneither Frec: 1 LogProb: -12.247749474575263
Palabra: aasize Frec: 3 LogProb: -11.554602294015318
Palabra: aassembly Frec: 1 LogProb: -12.247749474575263
Palabra: aaux Frec: 1 LogProb: -12.247749474575263
Palabra: aavjo Frec: 1 LogProb: -12.247749474575263
Palabra: aayog Frec: 2 LogProb: -11.8422843664671
Palabra: ab Frec: 26 LogProb: -9.64505978913088
Palabra: abandon Frec: 1 LogProb: -12.247749474575263
Palabra: abbe Frec: 1 LogProb: -12.247749474575263
Palabra: abc Frec: 3 LogProb: -11.554602294015318
Palabra: abd Frec: 1 LogProb: -12.247749474575263
Palabra: abdul Frec: 1 LogProb: -12.247749474575263
Palabra: aberration Frec: 6 LogProb: -10.994986506079895
Palabra: aberrations Frec: 4 LogProb: -11.331458742701109
Palabra: abgn Frec: 1 LogProb: -12.247749474575263
Palabra: abgnac Frec: 2 LogProb: -11.8422843664671
Palabra: abide Frec: 1 LogProb: -12.247749474575263
Palabra: abilities Frec: 2 LogProb: -11.8422843664671
Palabra: ability Frec: 50 LogProb: -9.009071022410883
Palabra: ableconn Frec: 3 LogProb: -11.554602294015318
Palabra: aboundthe Frec: 1 LogProb: -12.247749474575263
Palabra: aboutcom Frec: 1 LogProb: -12.247749474575263
Palabra: aboutthefit Frec: 2 LogProb: -11.8422843664671
Palabra: above Frec: 110 LogProb: -8.231366453822874
Palabra: aboveled Frec: 2 LogProb: -11.8422843664671
Palabra: abovephone Frec: 1 LogProb: -12.247749474575263
Palabra: abovespecification Frec: 1 LogProb: -12.247749474575263
Palabra: abovethis Frec: 2 LogProb: -11.8422843664671
Palabra: abrasion Frec: 8 LogProb: -10.743672077798989
Palabra: abrasives Frec: 2 LogProb: -11.8422843664671
Palabra: abro Frec: 1 LogProb: -12.247749474575263
Palabra: abroad Frec: 4 LogProb: -11.331458742701109
Palabra: abs Frec: 74 LogProb: -8.623408541598899
Palabra: absactual Frec: 1 LogProb: -12.247749474575263
Palabra: abscolour Frec: 1 LogProb: -12.247749474575263
Palabra: abscompatibility Frec: 1 LogProb: -12.247749474575263
Palabra: absence Frec: 3 LogProb: -11.554602294015318
Palabra: absent Frec: 1 LogProb: -12.247749474575263
Palabra: absolute Frec: 13 LogProb: -10.30183932551995
Palabra: absolutely Frec: 12 LogProb: -10.375947297673672
Palabra: absorb Frec: 6 LogProb: -10.994986506079895
Palabra: absorbed Frec: 2 LogProb: -11.8422843664671
Palabra: absorbency Frec: 2 LogProb: -11.8422843664671
Palabra: absorbent Frec: 2 LogProb: -11.8422843664671
Palabra: absorbing Frec: 4 LogProb: -11.331458742701109
Palabra: absorbs Frec: 11 LogProb: -10.455990005347209
Palabra: absorption Frec: 8 LogProb: -10.743672077798989
Palabra: absorptive Frec: 1 LogProb: -12.247749474575263
Palabra: abspcstrap Frec: 1 LogProb: -12.247749474575263
Palabra: absplusmetal Frec: 2 LogProb: -11.8422843664671
Palabra: abspp Frec: 1 LogProb: -12.247749474575263
Palabra: absproduct Frec: 1 LogProb: -12.247749474575263
Palabra: abswhite Frec: 1 LogProb: -12.247749474575263
Palabra: abundance Frec: 2 LogProb: -11.8422843664671
Palabra: abundant Frec: 3 LogProb: -11.554602294015318
Palabra: abuse Frec: 2 LogProb: -11.8422843664671
Palabra: abusive Frec: 1 LogProb: -12.247749474575263
Palabra: abxy Frec: 1 LogProb: -12.247749474575263
Palabra: ac Frec: 167 LogProb: -7.81693267573195
Palabra: academic Frec: 3 LogProb: -11.554602294015318
Palabra: academy Frec: 2 LogProb: -11.8422843664671
Palabra: acafadajxx Frec: 1 LogProb: -12.247749474575263
Palabra: acai Frec: 1 LogProb: -12.247749474575263
Palabra: acb Frec: 2 LogProb: -11.8422843664671
Palabra: acc Frec: 1 LogProb: -12.247749474575263
Palabra: accedental Frec: 1 LogProb: -12.247749474575263
Palabra: accelerate Frec: 1 LogProb: -12.247749474575263
Palabra: accelerated Frec: 1 LogProb: -12.247749474575263
Palabra: accelerates Frec: 2 LogProb: -11.8422843664671
Palabra: acceleration Frec: 12 LogProb: -10.375947297673672
Palabra: accelerator Frec: 1 LogProb: -12.247749474575263
Palabra: accelerometer Frec: 11 LogProb: -10.455990005347209
Palabra: accelerometers Frec: 1 LogProb: -12.247749474575263
Palabra: accent Frec: 5 LogProb: -11.149137185907154
Palabra: accented Frec: 1 LogProb: -12.247749474575263
Palabra: accents Frec: 5 LogProb: -11.149137185907154
Palabra: accept Frec: 4 LogProb: -11.331458742701109
Palabra: acceptable Frec: 2 LogProb: -11.8422843664671
Palabra: acceptance Frec: 1 LogProb: -12.247749474575263
Palabra: acceptancenot Frec: 1 LogProb: -12.247749474575263
Palabra: accepting Frec: 2 LogProb: -11.8422843664671
Palabra: accepts Frec: 7 LogProb: -10.861455113455373
Palabra: accesories Frec: 1 LogProb: -12.247749474575263
Palabra: accesory Frec: 1 LogProb: -12.247749474575263
Palabra: access Frec: 284 LogProb: -7.288407474866559
Palabra: accessand Frec: 1 LogProb: -12.247749474575263
Palabra: accessed Frec: 5 LogProb: -11.149137185907154
Palabra: accessibility Frec: 9 LogProb: -10.638311562141164
Palabra: accessible Frec: 20 LogProb: -9.896374217411786
Palabra: accessibly Frec: 1 LogProb: -12.247749474575263
Palabra: accessing Frec: 15 LogProb: -10.168307932895427
Palabra: accessories Frec: 187 LogProb: -7.7044546923052595
Palabra: accessoriesblack Frec: 1 LogProb: -12.247749474575263
Palabra: accessoriesfilter Frec: 1 LogProb: -12.247749474575263
Palabra: accessoriesgadgets Frec: 1 LogProb: -12.247749474575263
Palabra: accessoriesmaterialdurable Frec: 1 LogProb: -12.247749474575263
Palabra: accessorieswithout Frec: 1 LogProb: -12.247749474575263
Palabra: accessory Frec: 103 LogProb: -8.296505755993836
Palabra: accessoryget Frec: 2 LogProb: -11.8422843664671
Palabra: accessoryusa Frec: 1 LogProb: -12.247749474575263
Palabra: accessseparate Frec: 1 LogProb: -12.247749474575263
Palabra: accident Frec: 6 LogProb: -10.994986506079895
Palabra: accidental Frec: 32 LogProb: -9.444389093668729
Palabra: accidentally Frec: 11 LogProb: -10.455990005347209
Palabra: accidents Frec: 18 LogProb: -9.996457675968768
Palabra: acclaimed Frec: 9 LogProb: -10.638311562141164
Palabra: acclimated Frec: 1 LogProb: -12.247749474575263
Palabra: accommodate Frec: 25 LogProb: -9.682800117113727
Palabra: accommodated Frec: 7 LogProb: -10.861455113455373
Palabra: accommodates Frec: 19 LogProb: -9.945164381581218
Palabra: accommodating Frec: 1 LogProb: -12.247749474575263
Palabra: accompanied Frec: 5 LogProb: -11.149137185907154
Palabra: accompanies Frec: 3 LogProb: -11.554602294015318
Palabra: accompaniment Frec: 3 LogProb: -11.554602294015318
Palabra: accompany Frec: 2 LogProb: -11.8422843664671
Palabra: accompanying Frec: 4 LogProb: -11.331458742701109
Palabra: accomplish Frec: 2 LogProb: -11.8422843664671
Palabra: accomplished Frec: 4 LogProb: -11.331458742701109
Palabra: accomplishes Frec: 2 LogProb: -11.8422843664671
Palabra: accomplishing Frec: 3 LogProb: -11.554602294015318
Palabra: accord Frec: 6 LogProb: -10.994986506079895
Palabra: accordance Frec: 7 LogProb: -10.861455113455373
Palabra: according Frec: 38 LogProb: -9.277335009005563
Palabra: accordingly Frec: 9 LogProb: -10.638311562141164
Palabra: account Frec: 3 LogProb: -11.554602294015318
Palabra: accounting Frec: 6 LogProb: -10.994986506079895
Palabra: accounts Frec: 5 LogProb: -11.149137185907154
Palabra: accqcm Frec: 1 LogProb: -12.247749474575263
Palabra: accros Frec: 1 LogProb: -12.247749474575263
Palabra: accucore Frec: 1 LogProb: -12.247749474575263
Palabra: accumulate Frec: 1 LogProb: -12.247749474575263
Palabra: accumulated Frec: 3 LogProb: -11.554602294015318
Palabra: accumulating Frec: 1 LogProb: -12.247749474575263
Palabra: accumulation Frec: 3 LogProb: -11.554602294015318
Palabra: accuracy Frec: 56 LogProb: -8.89784538730066
Palabra: accurate Frec: 70 LogProb: -8.678216778093894
Palabra: accurately Frec: 28 LogProb: -9.573600825148734
Palabra: accustic Frec: 1 LogProb: -12.247749474575263
Palabra: acd Frec: 1 LogProb: -12.247749474575263
Palabra: acdc Frec: 11 LogProb: -10.455990005347209
Palabra: acdts Frec: 1 LogProb: -12.247749474575263
Palabra: acer Frec: 77 LogProb: -8.584187828445618
Palabra: acessory Frec: 1 LogProb: -12.247749474575263
Palabra: acetate Frec: 2 LogProb: -11.8422843664671
Palabra: achap Frec: 1 LogProb: -12.247749474575263
Palabra: acheive Frec: 1 LogProb: -12.247749474575263
Palabra: aches Frec: 1 LogProb: -12.247749474575263
Palabra: achievable Frec: 1 LogProb: -12.247749474575263
Palabra: achieve Frec: 55 LogProb: -8.915544964400059
Palabra: achieved Frec: 6 LogProb: -10.994986506079895
Palabra: achiever Frec: 1 LogProb: -12.247749474575263
