Numero de documentos del corpus: 7561
Numero de palabras del corpus: 535122
Palabra: <UNK> Frec: 0 LogProb: -13.327307112234562
Palabra: aa Frec: 63 LogProb: -9.168424028874892
Palabra: aaa Frec: 26 LogProb: -10.031470246230233
Palabra: aac Frec: 1 LogProb: -12.634159931674617
Palabra: aadhya Frec: 3 LogProb: -11.941012751114672
Palabra: aadi Frec: 1 LogProb: -12.634159931674617
Palabra: aadjustable Frec: 1 LogProb: -12.634159931674617
Palabra: aadmora Frec: 1 LogProb: -12.634159931674617
Palabra: aadvay Frec: 2 LogProb: -12.228694823566453
Palabra: aai Frec: 2 LogProb: -12.228694823566453
Palabra: aalim Frec: 1 LogProb: -12.634159931674617
Palabra: aam Frec: 4 LogProb: -11.717869199800463
Palabra: aamazing Frec: 1 LogProb: -12.634159931674617
Palabra: aamchur Frec: 1 LogProb: -12.634159931674617
Palabra: aameria Frec: 1 LogProb: -12.634159931674617
Palabra: aamras Frec: 1 LogProb: -12.634159931674617
Palabra: aandwiches Frec: 1 LogProb: -12.634159931674617
Palabra: aanya Frec: 1 LogProb: -12.634159931674617
Palabra: aanyacentric Frec: 1 LogProb: -12.634159931674617
Palabra: aaram Frec: 3 LogProb: -11.941012751114672
Palabra: aarav Frec: 1 LogProb: -12.634159931674617
Palabra: aari Frec: 2 LogProb: -12.228694823566453
Palabra: aarka Frec: 3 LogProb: -11.941012751114672
Palabra: aarsun Frec: 15 LogProb: -10.554718389994783
Palabra: aart Frec: 18 LogProb: -10.382868133068122
Palabra: aarti Frec: 4 LogProb: -11.717869199800463
Palabra: aashi Frec: 4 LogProb: -11.717869199800463
Palabra: aata Frec: 1 LogProb: -12.634159931674617
Palabra: aattractive Frec: 1 LogProb: -12.634159931674617
Palabra: aazeem Frec: 4 LogProb: -11.717869199800463
Palabra: ab Frec: 5 LogProb: -11.535547643006508
Palabra: abacus Frec: 1 LogProb: -12.634159931674617
Palabra: abbyhus Frec: 1 LogProb: -12.634159931674617
Palabra: abc Frec: 7 LogProb: -11.247865570554728
Palabra: abee Frec: 1 LogProb: -12.634159931674617
Palabra: aberration Frec: 5 LogProb: -11.535547643006508
Palabra: abhista Frec: 1 LogProb: -12.634159931674617
